token,network,fee,min,max
OMNI,ERC20,0.65,1.3,9999999.0
GNF,FIAT_MONEY,0.0,0.0,9999999.0
BB,BB,0.05,1.0,9999999.0
QAR,FIAT_MONEY,0.0,0.0,10000000000.0
JTO,SPL,0.68,1.36,9999999.0
FLM,NEO3,2.9,3.0,1000000000.0
FLM,NEO,0.5,2.0,10000000000.0
G,BEP20,16.0,32.0,999999999.0
G,ERC20,178.0,356.0,9999999999.0
GNO,ERC20,0.039,0.078,9999999.0
VITE,BEP20,28.0,56.0,10000000000.0
VITE,VITE,1.0,2.0,10000000000.0
GNS,ARBITRUM,0.049,0.098,9999999.0
GNS,MATIC,0.029,0.058,9999999.0
VANRY,ERC20,69.0,138.0,9900000000.0
VANRY,MATIC,69.0,1.3,9999999.0
T,ERC20,267.0,534.0,1000000000.0
CFX,BEP20,3.0,6.0,10000000000.0
CFX,CFX,0.002,0.2,9999999.0
LYD,FIAT_MONEY,0.0,0.0,9999999.0
W,SPL,4.05,8.1,9999999.0
KWD,FIAT_MONEY,0.0,0.0,10000000000.0
SFP,BEP20,0.79,1.58,10000000000.0
SFP,ERC20,0.79,17.0,9999999.0
DIA,BEP20,0.82,1.64,10000000000.0
DIA,ERC20,8.95,17.0,10000000000.0
ACA,ACA,0.2,0.4,1000000000.0
ISK,FIAT_MONEY,0.0,0.0,10000000000.0
ARDR,ARDR,2.0,4.0,10000000000.0
ACE,BEP20,0.27,0.54,9999999.0
ACE,ENDURANCE,0.006,0.1,9999999.0
JUP,SPL,1.82,3.64,9999999.0
ACH,ERC20,294.0,588.0,1000000000.0
BEL,BEP20,1.09,2.18,10000000000.0
BEL,ERC20,11.0,22.0,10000000000.0
JUV,CHZ2,0.0,1.0,9999999.0
MINA,MINA,0.9,5.0,9999999.0
ACM,CHZ2,0.0,1.0,9999999.0
VTHO,VET,70.0,400.0,9900000000.0
TIA,TIA,0.1,0.4,9999999.0
PAB,FIAT_MONEY,0.0,0.0,10000000000.0
WOO,BEP20,3.19,6.38,1000000000.0
WOO,ARBITRUM,3.19,1.12,9999999.0
WOO,ERC20,3.19,68.0,1000000000.0
REI,REI,0.03,0.06,1000000000.0
1MBABYDOGE,BEP20,288.0,576.0,9999999999.0
1MBABYDOGE,ERC20,3130.0,6260.0,9999999999.0
BLUR,ERC20,28.0,56.0,9999999.0
REN,ERC20,170.0,340.0,10000000000.0
STRK,ERC20,16.0,32.0,9999999.0
STRK,STARKNET,1.0,2.0,9999999.0
ELF,BEP20,1.5,3.0,10000000000.0
ELF,ELF,1.5,2.0,1000000000.0
ELF,ERC20,16.0,32.0,10000000000.0
ADA,BEP20,1.59,3.18,10000000000.0
ADA,ADA,0.8,2.0,50000000.0
STORJ,ERC20,15.0,30.0,10000000000.0
REQ,ERC20,63.0,126.0,10000000000.0
DF,BEP20,18.0,36.0,10000000000.0
DF,ERC20,205.0,410.0,10000000000.0
RARE,ERC20,51.0,102.0,9999999.0
PAXG,ERC20,0.0055,0.011,4000.0
REZ,ERC20,159.0,318.0,9999999.0
CHR,BEP20,3.19,6.38,10000000000.0
CHR,ERC20,34.0,68.0,10000000000.0
VND,FIAT_MONEY,0.0,0.0,10000000000.0
CHZ,CHZ2,1.0,2.0,10000000000.0
CHZ,ERC20,1.0,200.0,10000000000.0
ADX,BEP20,3.85,7.7,10000000000.0
ADX,ERC20,41.0,82.0,10000000000.0
PGALA,BEP20,72.0,80.0,9999999.0
XRP,BEP20,1.02,2.04,10000000000.0
XRP,XRP,0.2,10.3,10000000000.0
XRP,ERC20,0.2,22.0,9999999.0
JASMY,BEP20,28.0,56.0,1000000000.0
JASMY,ERC20,304.0,608.0,10000000000.0
FLOKI,BEP20,4053.0,8106.0,100000000000000.0
FLOKI,ERC20,44125.0,88250.0,100000000000000.0
TJS,FIAT_MONEY,0.0,0.0,10000000000.0
FIDA,SPL,5.24,10.0,9999999.0
AED,FIAT_MONEY,0.0,0.0,10000000000.0
SAND,BEP20,2.23,4.46,10000000000.0
SAND,ERC20,24.0,48.0,10000000000.0
SAND,MATIC,24.0,0.46,9999999.0
UMA,ERC20,2.07,4.14,10000000000.0
SCRT,BEP20,2.85,5.7,10000000000.0
TUSD,BEP20,0.55,1.1,10000000000.0
TUSD,ERC20,5.0,30.0,10000000000.0
TUSD,TRC20,5.0,10.0,10000000000.0
ENA,ERC20,18.0,36.0,2000000.0
TKO,BEP20,1.54,3.08,10000000000.0
BHD,FIAT_MONEY,0.0,0.0,10000000000.0
IDRT,BEP20,8350.0,16700.0,50000000000.0
IDRT,ERC20,90864.0,181728.0,50000000000.0
IDRT,MATIC,90864.0,1722.0,10000000009.0
ENJ,ENJ,0.0003,1.0,9999999.0
KZT,FIAT_MONEY,0.0,0.0,10000000000.0
OAX,BEP20,4.36,8.72,10000000000.0
OAX,ERC20,47.0,94.0,10000000000.0
GRT,ARBITRUM,0.62,1.24,1000000000.0
GRT,ERC20,38.0,76.0,10000000000.0
GRT,MATIC,38.0,0.72,9999999.0
AFN,FIAT_MONEY,0.0,0.0,10000000000.0
TFUEL,THETA,3.2,6.4,10000000000.0
HARD,BEP20,4.64,9.28,10000000000.0
HARD,KAVA,4.64,0.08,10000000000.0
ENS,ERC20,0.36,0.72,10000000000.0
PDA,ERC20,85.0,170.0,9999999.0
TROY,BEP20,423.0,846.0,10000000000.0
TROY,ERC20,211.0,9206.0,10000000000.0
UNI,BEP20,0.081,0.16,10000000000.0
UNI,ERC20,0.88,1.76,10000000000.0
TLM,BEP20,59.0,118.0,10000000000.0
TLM,ERC20,648.0,1296.0,10000000000.0
HUF,FIAT_MONEY,0.0,0.0,10000000000.0
CKB,CKB,0.001,300.0,999999999.0
WRX,BEP20,4.81,9.62,10000000000.0
LUNC,LUNC,22.66,30000.0,20000000000.0
LUNA,LUNA,0.01,1.0,10000000000.0
XTZ,BEP20,0.22,0.4,10000000000.0
XTZ,XTZ,0.1,1.0,10000000000.0
FUSDC,FTM,1.0,4.0,1000000000.0
EOS,BEP20,1.17,2.34,10000000000.0
EOS,EOS,0.08,0.16,10000000000.0
RIF,RSK,3.0,6.0,9999999.0
SKL,ERC20,167.0,334.0,10000000000.0
GTC,ERC20,9.37,18.0,10000000000.0
PEN,FIAT_MONEY,0.0,0.0,10000000000.0
TMT,FIAT_MONEY,0.0,0.0,10000000000.0
BURGER,BEP20,1.4,2.8,10000000000.0
HOOK,BEP20,1.29,2.58,1000000000.0
XVG,XVG,1.0,2.0,10000000000.0
EPS,BEP20,25.0,50.0,10000000000.0
TND,FIAT_MONEY,0.0,0.0,10000000000.0
SLF,SLF,0.01,0.1,999999999.0
EPX,BEP20,36704.0,73408.0,10000000000.0
CLV,BEP20,12.0,24.0,9999999.0
CLV,ERC20,138.0,276.0,9999999.0
FLOW,BEP20,1.02,2.04,9999999.0
STEEM,STEEM,0.01,0.02,10000000000.0
MEME,ERC20,607.0,1214.0,99999999.0
XVS,BEP20,0.08,0.16,10000000000.0
SLP,BEP20,234.0,468.0,10000000000.0
SLP,ERC20,2557.0,5114.0,10000000000.0
SLP,RON,2557.0,154.0,9999999.0
ID,BEP20,1.56,3.12,10000000000.0
ID,ERC20,1.56,32.0,10000000000.0
DOP,FIAT_MONEY,0.0,0.0,9999999.0
IO,SPL,0.81,1.62,9999999.0
LAZIO,BEP20,0.44,0.88,9999999.0
IQ,EOS,50.0,100.0,10000000000.0
IQ,ERC20,50.0,2050.0,400000000.0
WRXOLD,BEP20,1.65,7.9,10000000000.0
WRXOLD,ERC20,1.65,88.0,10000000000.0
DOT,BEP20,0.13,0.26,10000000000.0
DOT,DOT,0.08,1.3,10000000000.0
DOT,STATEMINT,0.08,1.0,9999999.0
1INCH,ERC20,23.0,46.0,10000000000.0
MAD,FIAT_MONEY,0.0,0.0,10000000000.0
CHESS,BEP20,4.31,8.62,10000000000.0
CHESS,ERC20,4.31,92.0,9999999.0
TON,TON,0.02,1.0,9999999.0
DEGO,BEP20,0.31,0.62,10000000000.0
DEGO,ERC20,3.35,6.7,10000000000.0
TURBO,ERC20,1181.0,2362.0,999999999.0
TURBO,SPL,279.0,558.0,999999999.0
GYEN,ERC20,930.0,1860.0,10010000000.0
UNFI,BEP20,0.21,0.42,10000000000.0
UNFI,ERC20,2.31,4.62,10000000000.0
FTM,BEP20,0.86,1.72,10000000000.0
FTM,FTM,0.03,2.0,9999999.0
FTM,ERC20,0.03,18.0,10000000000.0
POWR,ERC20,29.0,58.0,10000000000.0
ERN,ERC20,2.98,5.96,9999999.0
MAV,ARBITRUM,0.52,1.04,9999999.0
MAV,BEP20,0.52,5.92,9999999.0
MAV,BASE,0.52,1.04,9999999.0
MAV,ERC20,32.0,64.0,9999999.0
MAV,ZKSYNCERA,32.0,0.2,9999999.0
VOXEL,MATIC,0.38,0.76,9999999.0
FTT,ERC20,2.74,5.48,10000000000.0
RLC,ERC20,4.22,8.44,10000000000.0
PHA,BEP20,4.88,9.76,10000000000.0
PHA,ERC20,53.0,106.0,10000000000.0
PHB,BEP20,0.29,0.58,10000000000.0
BEAMX,BEP20,33.0,66.0,999999999.0
BEAMX,ERC20,33.0,732.0,999999999.0
ARKM,ERC20,4.41,8.82,9999999.0
ATOM,BEP20,0.12,0.24,10000000000.0
ATOM,ATOM,0.02,0.04,10000000000.0
QUICK,ERC20,171.0,342.0,9999999.0
QUICK,MATIC,1.62,3.24,9999999.0
PENDLE,ARBITRUM,0.025,0.05,9999999.0
PENDLE,BEP20,0.025,0.3,9999999.0
PENDLE,ERC20,1.59,3.18,9999999.0
BLZ,BEP20,4.61,9.22,10000000000.0
BLZ,ERC20,50.0,100.0,10000000000.0
MBL,BEP20,208.0,416.0,9999999.0
MBL,ONT,4.9,9.8,9900000000.0
SNT,ERC20,270.0,540.0,10000000000.0
PHP,FIAT_MONEY,0.0,0.0,9999999.0
SNX,BEP20,0.4,0.8,10000000000.0
SNX,ERC20,4.4,8.8,10000000000.0
SNX,OPTIMISM,4.4,0.036,1000000000.0
FUN,ERC20,1871.0,3742.0,10000000000.0
COP,FIAT_MONEY,0.0,0.0,10000000000.0
COS,BEP20,74.0,148.0,10000000000.0
COS,ERC20,37.0,1620.0,10000000000.0
API3,ERC20,4.46,8.92,1000000000.0
QKC,BEP20,63.0,126.0,10000000000.0
QKC,ERC20,694.0,1388.0,10000000000.0
ROSE,ROSE,0.1,1.0,10000000000.0
GLMR,GLMR,0.02,10.0,9999999.0
GLMR,BEP20,0.02,6.7,9999999.0
PORTAL,ERC20,21.0,42.0,9999999.0
SOL,BEP20,0.0039,0.0078,9999999.0
SOL,SPL,0.01,0.05,10000000000.0
ETB,FIAT_MONEY,0.0,0.0,10000000000.0
CITY,CHZ2,0.0,1.0,9999999.0
ETC,BEP20,0.03,0.06,10000000000.0
ETC,ETC,0.004,0.02,10000000000.0
LAK,FIAT_MONEY,0.0,0.0,10000000000.0
OGN,BEP20,6.82,13.0,10000000000.0
OGN,ERC20,74.0,148.0,10000000000.0
CELR,BEP20,47.0,94.0,10000000000.0
CELR,ERC20,511.0,1022.0,10000000000.0
BNB,BEP20,0.0002,0.0009,10000000000.0
BNB,BEP2,0.0005,0.001,100000.0
BNB,ERC20,0.0005,0.012,10000000000.0
BNB,OPBNB,0.0005,0.005,9999999.0
ETH,BEP20,0.00023,0.00046,10000000000.0
ETH,ERC20,0.0017,0.003,10000000000.0
ETH,ARBITRUM,0.0017,0.0008,9999999.0
ETH,BASE,0.0017,0.001,9999999.0
ETH,MANTA,0.0017,0.0003,9999999.0
ETH,OPTIMISM,0.0017,0.002,1000000000.0
ETH,STARKNET,0.0017,0.002,9999999.0
ETH,ZKSYNCERA,0.0017,0.01,9999999.0
NEO,NEO,0.0,1.0,10000000000.0
NEO,NEO3,0.0,1.0,9999999.0
BND,FIAT_MONEY,0.0,0.0,10000000000.0
KLAY,KLAY,0.005,1.0,9999999.0
CELO,CELO,0.001,0.002,9999999.0
AUCTION,BEP20,0.042,0.084,10000000000.0
AUCTION,ERC20,0.46,0.92,10000000000.0
MANTA,MANTA,0.15,0.42,9999999.0
BADGER,ERC20,2.25,4.5,10000000000.0
TUSDOLD,BEP20,0.55,1.1,10000000000.0
HIGH,BEP20,0.44,0.88,10000000000.0
HIGH,ERC20,4.74,9.48,10000000000.0
TRB,ERC20,0.098,0.2,10000000000.0
BNT,BEP20,1.17,2.34,10000000000.0
BNT,ERC20,12.0,24.0,10000000000.0
ALT,BEP20,5.19,10.0,9999999.0
ALT,ERC20,56.0,112.0,9999999.0
ORDI,ORDIBTC,1.5,4.5,9999999.0
UTK,ERC20,156.0,312.0,10000000000.0
UTK,EGLD,156.0,20.0,1000000000.0
BNX,BEP20,0.69,1.38,9999999.0
WSOL,SPL,0.01,0.02,10000000000.0
MDL,FIAT_MONEY,0.0,0.0,10000000000.0
TRU,BEP20,6.62,13.0,10000000000.0
TRU,ERC20,72.0,144.0,10000000000.0
AMB,AMB,1.0,2.0,10000000000.0
WBNB,BEP20,0.001,0.002,10000000000.0
AMD,FIAT_MONEY,0.0,0.0,10000000000.0
NFP,BEP20,2.67,5.34,200000000.0
TRY,FIAT_MONEY,0.0,0.0,10000000000.0
TRX,BEP20,3.53,7.06,10000000000.0
TRX,TRC20,1.0,30.0,9900000000.0
MDT,BEP20,12.0,24.0,10000000000.0
MDT,ERC20,136.0,272.0,10000000000.0
NFT,BEP20,1319793.0,2639586.0,9999999999.0
NFT,TRC20,258302.0,285517.0,9999999999.0
AERGO,ERC20,62.0,124.0,10000000000.0
EUR,FIAT_MONEY,0.0,0.0,10000000000.0
AMP,ERC20,1578.0,3156.0,25000000.0
HIFI,ERC20,13.0,26.0,9999999.0
USTC,LUNC,0.6,200.0,10000000.0
NULS,BEP20,1.76,3.52,10000000000.0
NULS,NULS,0.01,0.02,10000000000.0
RON,FIAT_MONEY,0.0,0.0,1000000000.0
CRC,FIAT_MONEY,0.0,0.0,10000000000.0
PKR,FIAT_MONEY,0.0,0.0,9999999.0
EGLD,BEP20,0.022,0.044,10000000000.0
EGLD,EGLD,0.0008,0.01,10000000000.0
PUNDIX,ERC20,15.0,30.0,9999999.0
SPELL,ERC20,11643.0,23286.0,1000000000.0
FXS,ERC20,2.99,5.98,9900000000.0
AEVO,ERC20,17.0,34.0,9999999.0
CRV,ARBITRUM,0.37,0.74,9999999.0
CRV,ERC20,23.0,46.0,10000000000.0
CRV,OPTIMISM,23.0,0.19,9999999.0
ANT,ERC20,1.0,2.0,10000000000.0
BAKE,BEP20,2.37,4.74,10000000000.0
FLUX,BEP20,1.03,2.06,10000000000.0
FLUX,ERC20,11.0,22.0,10000000000.0
RPL,ERC20,0.6,1.2,9999999.0
PLN,FIAT_MONEY,0.0,0.0,10000000000.0
QNT,ERC20,0.088,0.18,9999999.0
LDO,ERC20,5.69,11.0,1000000000.0
MAGIC,ARBITRUM,0.28,0.56,1000000000.0
ALICE,BEP20,0.58,1.16,10000000000.0
ALICE,ERC20,6.3,12.0,10000000000.0
OG,CHZ2,0.0,1.0,9999999.0
OM,BEP20,0.43,0.86,10000000000.0
OM,ERC20,4.63,9.26,9900000000.0
ETHW,ETHW,0.004,0.03,9999999.0
AEUR,BEP20,0.8,2.0,9999999.0
AEUR,ERC20,5.38,10.0,9999999.0
OP,OPTIMISM,0.015,0.03,1000000000.0
BTTOLD,TRC20,400.0,800.0,1e+19
WETH,ERC20,0.0025,0.005,10000000000.0
WETH,RON,0.0025,0.0017,9999999.0
BETA,BEP20,12.0,24.0,10000000000.0
BETA,ERC20,132.0,264.0,10000000000.0
APE,BEP20,0.79,1.58,1000000000.0
APE,ERC20,8.55,17.0,1000000000.0
SSV,ERC20,0.27,0.54,9999999.0
CTK,BEP20,1.04,2.08,10000000000.0
CTK,CTK,0.05,0.1,9999999.0
ARPA,BEP20,13.0,26.0,10000000000.0
ARPA,ERC20,151.0,302.0,10000000000.0
BRL,FIAT_MONEY,0.0,0.0,10000000000.0
ALCX,ERC20,0.46,0.92,9999999.0
APT,APT,0.005,0.06,9999999.0
STG,ARBITRUM,0.35,0.66,1000000000.0
STG,BEP20,0.35,3.76,1000000000.0
STG,ERC20,20.0,40.0,1000000000.0
STG,FTM,20.0,2.64,1000000000.0
STG,MATIC,20.0,0.38,1000000000.0
SHIB,BEP20,33092.0,66184.0,500000000000.0
SHIB,ERC20,360092.0,720184.0,600000000000.0
IOTX,BEP20,14.0,28.0,10000000000.0
IOTX,IOTX,0.12,1.0,10000000000.0
KDA,KDA2,0.01,0.2,9999999.0
FRONT,ERC20,10.0,20.0,10000000000.0
ZAR,FIAT_MONEY,0.0,0.0,10000000000.0
STX,STX,1.0,10.0,10000000000.0
PYTH,SPL,4.3,8.6,9999999.0
DENT,ERC20,7353.0,14706.0,9900000000.0
QI,BEP20,42.0,84.0,9999999.0
QI,AVAXC,7.93,15.0,10000000000.0
MBOX,BEP20,4.12,8.24,9999999.0
TWD,FIAT_MONEY,0.0,0.0,9999999.0
IOST,IOST,0.0001,2.0,10000000000.0
IOST,ERC20,0.0001,2496.0,10000000000.0
SUI,SUI,0.06,1.0,9999999.0
WBETH,BEP20,0.00022,0.00044,10000000000.0
WBETH,ERC20,0.00022,0.0048,10000000000.0
BSW,BEP20,9.46,18.0,1000000000.0
CAKE,BEP20,0.3,0.6,10000000000.0
CAKE,APT,0.3,0.02,9999999.0
CAKE,ERC20,0.3,6.5,9999999.0
BAND,BEP20,0.49,0.98,10000000000.0
BAND,BAND,0.01,0.02,10000000000.0
BAND,ERC20,0.01,10.0,10000000000.0
POL,MATIC,0.08,20.0,99999999.0
POL,ERC20,0.08,10.0,9999999999.0
SUN,BEP20,29.0,58.0,10000000000.0
SUN,TRC20,6.0,15.0,10000000000.0
ASTR,ASTR,2.0,5.0,9999999.0
UYU,FIAT_MONEY,0.0,0.0,10000000000.0
RSR,ERC20,941.0,1882.0,10000000000.0
NKN,ERC20,86.0,172.0,10000000000.0
TWT,BEP20,0.55,1.1,10000000000.0
BTC,BEP20,8.9e-06,1.8e-05,10000000000.0
BTC,BTC,0.0001,0.00015,4000.0
BTC,ERC20,0.0001,0.00019,10000000000.0
BTC,LIGHTNING,0.0001,2e-05,0.01
CVC,ERC20,44.0,88.0,10000000000.0
IOTA,BEP20,4.63,9.26,10000000000.0
IOTA,IOTA,0.5,29.0,10000000000.0
ARB,ARBITRUM,0.03,0.46,1000000000.0
ARB,ERC20,0.03,22.0,10000000000.0
OMR,FIAT_MONEY,0.0,0.0,10000000000.0
KES,FIAT_MONEY,0.0,0.0,9999999.0
LOKA,ERC20,30.0,60.0,9999999.0
ARK,ARK,0.3,0.6,10000000000.0
RONIN,RON,0.01,0.05,9999999.0
KEY,ERC20,1303.0,2606.0,10000000000.0
ARS,FIAT_MONEY,0.0,0.0,10000000000.0
CVX,ERC20,3.25,6.5,9999999.0
ONE,ONE,0.1,60.0,10000000000.0
RENDER,SPL,0.14,0.5,999999999.0
ONG,ONT,0.1,0.2,10000000000.0
ANKR,BEP20,21.0,42.0,10000000000.0
ANKR,ERC20,231.0,462.0,10000000000.0
SUSHI,BEP20,0.77,1.54,10000000000.0
SUSHI,ERC20,8.41,16.0,10000000000.0
ALGO,ALGO,0.008,10.0,10000000000.0
UZS,FIAT_MONEY,0.0,0.0,10000000000.0
SC,SC,0.1,0.2,9900000000.0
WBTC,ERC20,9.7e-05,0.00019,10000000000.0
WBTC,KAVAEVM,9.7e-05,0.0002,9999999.0
ONT,BEP20,3.12,6.24,10000000000.0
ONT,ONT,1.0,2.0,10000000000.0
DYM,DYM,0.004,1.0,9999999.0
PIVX,PIVX,0.04,0.4,10000000000.0
RUB,FIAT_MONEY,0.0,0.0,10000000000.0
BTTC,BEP20,638214.0,1276428.0,100000000000.0
BTTC,TRC20,4000.0,178000.0,2000000000000.0
FIRO,BEP20,0.5,1.0,10000000000.0
FIRO,FIRO,0.02,0.04,50000.0
ASR,CHZ2,0.0,1.0,9999999.0
BNSOL,SPL,0.01,0.05,9999999.0
AST,ERC20,76.0,152.0,10000000000.0
MANA,ERC20,21.0,42.0,10000000000.0
ATA,BEP20,7.26,14.0,9999999.0
ATA,ERC20,7.26,158.0,9999999.0
DZD,FIAT_MONEY,0.0,0.0,10000000000.0
NMR,ERC20,0.42,0.84,10000000000.0
MKR,BEP20,0.00037,0.00074,10000000000.0
MKR,ERC20,0.0041,0.0082,10000000000.0
KGS,FIAT_MONEY,0.0,0.0,10000000000.0
LIT,BEP20,0.92,1.84,10000000000.0
LIT,ERC20,10.0,20.0,9900000000.0
DODO,BEP20,4.75,9.5,10000000000.0
DODO,ARBITRUM,4.75,1.66,9999999.0
DODO,ERC20,51.0,102.0,9900000000.0
ICP,ICP,0.0003,0.001,9999999.0
ZEC,BEP20,0.021,0.042,10000000000.0
ZEC,ZEC,0.01,0.02,10000000000.0
ATM,CHZ2,0.0,1.0,9999999.0
XAF,FIAT_MONEY,0.0,0.0,10000000000.0
JEX,ERC20,10.85,21.7,10000000000.0
TNSR,SPL,3.85,7.7,9999999.0
ICX,ICX,0.02,0.04,10000000000.0
POLYX,POLYX,5.0,10.0,9999999.0
XAI,ARBITRUM,0.5,1.0,9999999.0
XAI,XAI,0.5,0.1,9999999.0
ZEN,ZEN,0.002,0.004,10000000000.0
KP3R,ERC20,0.13,0.26,10000000000.0
ALPHA,BEP20,10.0,20.0,10000000000.0
ALPHA,ERC20,109.0,218.0,10000000000.0
DUSK,BEP20,2.76,5.52,10000000000.0
DUSK,ERC20,1.38,60.0,10000000000.0
DOGE,BEP20,5.16,10.0,10000000000.0
DOGE,DOGE,4.0,24.0,10000000000.0
HBAR,HBAR,0.15,2.0,10000000000.0
SXP,SXP,0.1,0.2,9999999.0
RVN,RVN,0.1,2.0,10000000000.0
TZS,FIAT_MONEY,0.0,0.0,10000000000.0
MLN,ERC20,0.39,0.78,9999999.0
PEPE,ERC20,628596.0,1257192.0,100000000000000.0
AUD,FIAT_MONEY,0.0,0.0,10000000000.0
KHR,FIAT_MONEY,0.0,0.0,10000000000.0
DOGS,TON,100.0,5000.0,1000000000.0
CTSI,BEP20,4.47,8.94,10000000000.0
CTSI,ERC20,48.0,96.0,10000000000.0
BWP,FIAT_MONEY,0.0,0.0,9999999.0
KAVA,KAVA,0.03,2.0,10000000000.0
KAVA,KAVAEVM,0.03,0.1,9999999.0
OSMO,OSMO,0.06,5.0,9999999.0
C98,BEP20,4.61,9.22,10000000000.0
C98,ERC20,50.0,100.0,10000000000.0
C98,VIC,50.0,2.0,9999999.0
PSG,CHZ2,0.0,1.0,9999999.0
NTRN,NTRN,0.25,0.4,9999999.0
SYN,BEP20,1.4,2.8,10000000000.0
SYN,AVAXC,1.4,0.52,9999999.0
SYN,ARBITRUM,1.4,0.48,9999999.0
SYN,ERC20,15.0,30.0,10000000000.0
SYN,FTM,15.0,1.96,1000000000.0
SYN,OPTIMISM,15.0,0.12,9999999.0
SYN,MATIC,15.0,0.28,1000000000.0
MMK,FIAT_MONEY,0.0,0.0,999999999999.0
VIDT,BEP20,11.0,22.0,10000000000.0
VIDT,ERC20,129.0,258.0,10000000000.0
SYS,SYS,1.0,2.0,10000000000.0
AVA,BEP20,1.18,2.36,10000000000.0
AVA,ERC20,12.0,24.0,9999999.0
STRAX,STRAX,0.01,10.0,10000000000.0
NOT,TON,30.0,60.0,999999999.0
CZK,FIAT_MONEY,0.0,0.0,10000000000.0
GAS,NEO3,0.05,0.1,9999999.0
GAS,NEO,0.005,1.0,11000.0
BOME,SPL,230.0,460.0,15000000.0
COMBO,BEP20,1.44,2.88,9999999.0
COMBO,ERC20,1.44,30.0,9999999.0
THETA,THETA,0.16,0.32,10000000000.0
WAN,WAN,0.005,0.02,10000000000.0
EURI,BEP20,0.49,0.98,9999999.0
EURI,ERC20,0.49,2.0,9999999.0
NEXO,ERC20,6.18,12.0,1000000000.0
NEXO,MATIC,6.18,0.12,1000000000.0
ORN,BEP20,0.5,1.0,10000000000.0
ORN,ERC20,5.42,10.0,10000000000.0
MASK,BEP20,0.23,0.46,10000000000.0
MASK,ERC20,2.5,5.0,9999999.0
AAVE,BEP20,0.0039,0.0078,10000000000.0
AAVE,ERC20,0.042,0.084,10000000000.0
MNT,FIAT_MONEY,0.0,0.0,10000000000.0
GBP,FIAT_MONEY,0.0,0.0,10000000000.0
BONK,BEP20,1000.0,2000.0,9999999999.0
BONK,SPL,62743.0,125486.0,50000000000.0
BYN,FIAT_MONEY,0.0,0.0,10000000000.0
PERP,BEP20,1.01,2.02,10000000000.0
PERP,ERC20,10.0,20.0,20000000000.0
YFI,BEP20,0.00011,0.00022,10000000000.0
YFI,ERC20,0.0012,0.0024,10000000000.0
LQTY,ERC20,7.36,14.0,10000000000.0
BICO,ERC20,28.0,56.0,10000000000.0
PIXEL,ERC20,46.0,92.0,9999999.0
PIXEL,RON,46.0,0.2,9999999.0
AXL,AVAXC,0.17,0.34,9999999.0
AXL,ARBITRUM,0.17,0.32,9999999.0
AXL,AXL,0.02,1.0,9999999.0
AXL,BEP20,0.02,1.8,9999999.0
AXL,BASE,0.02,0.32,9999999.0
AXL,ERC20,0.02,19.0,9999999.0
AXL,OPTIMISM,0.02,0.078,9999999.0
AXL,MATIC,0.02,0.19,9999999.0
HMSTR,TON,30.0,86.0,500000000.0
XEC,BEP20,16186.0,32372.0,9999999999.0
XEC,XEC,280.0,20000.0,10000000000.0
